,text,external_id,error,classifications,error_detail
0, srmuap webinar on post covid science and technology jointly organised by srmuap amp the_hindu august panel bharat ratna cnr ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.857}]",
1,,,True,,"Invalid text, empty strings are not allowed"
2, pattonoswalt my daughter class is learning about the great depression so they all watched the journey of natty gann and they re abou ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.968}]",
3,,,True,,"Invalid text, empty strings are not allowed"
4, linc_pd join us for preparing for reimagined new school year on lincspring live june rd at pm est register here https co ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.816}]",
5,,,True,,"Invalid text, empty strings are not allowed"
6, eligarza what an honor to be part of zoom meeting with latino detroit pastors and doctor to dispel covid disinformation and dis ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.843}]",
7,,,True,,"Invalid text, empty strings are not allowed"
8, capofootball that a wrap for spring ball zoom meetings attended gt meetings talked lot of ball ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.533}]",
9,,,True,,"Invalid text, empty strings are not allowed"
10, niperhyd webinar on post covid science amp technology join at niperhyd pharmadept satishkreddy hrdministr ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.742}]",
11,,,True,,"Invalid text, empty strings are not allowed"
12,what an honor to be part of zoom meeting with latino detroit pastors and doctor to dispel covid disinformatio ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.82}]",
13,,,True,,"Invalid text, empty strings are not allowed"
14, benongowa had similar experience afew days ago left zoom meeting with blank head like newborn mind because didn pick ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.632}]",
15,,,True,,"Invalid text, empty strings are not allowed"
16,toh but small me will get shit for janky connection during zoom meeting can you see iz not meeee even my ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.944}]",
17,,,True,,"Invalid text, empty strings are not allowed"
18,daniel had things to do and tension to let out on this zoom meeting this girl in the middle was with the ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.563}]",
19,,,True,,"Invalid text, empty strings are not allowed"
20,zoom meeting protocols are still not clear to me,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.704}]",
21,,,True,,"Invalid text, empty strings are not allowed"
22, laur_berger info for deaf hh ppl if you re stuck in the middle of hearing centric zoom calls that aren inclusive read no asl engl ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.591}]",
23,,,True,,"Invalid text, empty strings are not allowed"
24, possbeth getting ready for tomorrow at est for resources and strategies to support early reading development in young children with ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.924}]",
25,,,True,,"Invalid text, empty strings are not allowed"
26, tchdhealth business owners join tomorrow webinar for business support on re opening get updates and answers to your questions from ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.395}]",
27,,,True,,"Invalid text, empty strings are not allowed"
28, whyiamcrazy no wonder we get along so well lol yeah most of the families work with have pretty much abdicated ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.788}]",
29,,,True,,"Invalid text, empty strings are not allowed"
30, medicare allct save the date tuesday june pm join us for the medicare for all ct virtual meeting let plan our next steps ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.796}]",
31,,,True,,"Invalid text, empty strings are not allowed"
32,lmao random zoom meeting tm for class cool ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.608}]",
33,,,True,,"Invalid text, empty strings are not allowed"
34, am playing music in just half an hour pm click the zoom link now to get registered for the event ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.778}]",
35,,,True,,"Invalid text, empty strings are not allowed"
36, hit new low in zoom meeting world today yes wore pants but the minute calendar reminder went off for m ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.463}]",
37,,,True,,"Invalid text, empty strings are not allowed"
38, lovemyniners you re welcome after the zoom meeting hopefully you can enjoy your own spa night ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.909}]",
39,,,True,,"Invalid text, empty strings are not allowed"
40,come join and unwind with us topic political activism vibe sesh time may pm eastern time us an ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.487}]",
41,,,True,,"Invalid text, empty strings are not allowed"
42, cyclopediabrain on the second pc join your zoom meeting with another account and go to web captioner once there click start captio ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.768}]",
43,,,True,,"Invalid text, empty strings are not allowed"
44,save the date tuesday june pm join us for the medicare for all ct virtual meeting let plan our next ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.541}]",
45,,,True,,"Invalid text, empty strings are not allowed"
46,wed june at m ll have my good friend and npr chief economics correspondent scott horsley join me ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.551}]",
47,,,True,,"Invalid text, empty strings are not allowed"
48, aaronch u come to me on the day of my daughters zoom meeting,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.731}]",
49,,,True,,"Invalid text, empty strings are not allowed"
50,fingers crossed wearing my nice nursing bra and fancy sweats made the difference in that last zoom meeting ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.615}]",
51,,,True,,"Invalid text, empty strings are not allowed"
52, yorkhistory next month the york civil war round table will be hosting virtual meeting on zoom amp facebook live visit our website fo ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.799}]",
53,,,True,,"Invalid text, empty strings are not allowed"
54,thank you for joining our virtual talks this week our next session is on tuesday at pm ct with khalifestyle wher ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.526}]",
55,,,True,,"Invalid text, empty strings are not allowed"
56, katestrasdin unsuitable lockdown attire this morning amp am trying to imagine the effect of these sleeves across my desk during zoom ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.615}]",
57,,,True,,"Invalid text, empty strings are not allowed"
58,forgot that today was my last daily bruin meeting ever so when the zoom link got sent out had to tune in from ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.509}]",
59,,,True,,"Invalid text, empty strings are not allowed"
60,nick corona of five suits brewing tells his story about starting business during quarantine at our quaff zoom mee ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.525}]",
61,,,True,,"Invalid text, empty strings are not allowed"
62,join the dudley eagles every sunday at pm est for an online zoom mastermind meeting join here ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.619}]",
