#LOCKDOWN,
words,value
Lockdown,589
covid-19,220
lifted,220
coronavirus,193
grocery,107
remained,89
isolation,70
people,69
economy,67
new,65
video,61
best,60
travelling,60
beautiful,59
social,58
train,58
days,55
time,55
media,54
government,53
out,53
nature,53
blossoms,52
were,52
red,51
activities,50
bogies,50
circulating,50
stating,50
railminindia,50
flowers,50
claim,50
first,50
will,50
cast,49
replete,49
pibfactcheck,49
woman,49
infant,49
fill,48
emptiness,48
fragrance,46
today,45
just,44
one,43
about,42
here,41
read,38
day,37
restrictions,36
india,36
home,36
consists,35
down,35
done,34
please,34
more,34
since,33
work,33
before,32
should,32
some,31
take,31
help,30
like,30
food,30
much,30
hyderabad,29
their,29
over,28
valimai,27
chennai,27
make,27
shoot,27
living,27
follow,27
ajith,26
happy,25
there,25
continue,25
may,24
uk,24
weeks,24
use,24
retweet,23
news,23
update,22
very,22
guidelines,22
know,22
staysafe,22
longer,22
being,21
migrant,21
live,21
larger,21
sample,21
because,21
source,20
question,20
last,20
film,20
love,20
week,20
daily,20
health,19
far,19
life,19
would,19
state,19
through,19
together,19
massajith,19
morning,19
while,19
well,19
services,19
than,19
open,18
keep,18
going,18
pandemic,18
point,18
tomorrow,18
need,18
stayhome,18
support,17
birds,17
everyone,17
police,17
bus,17
line,17
only,17
saga,17
still,17
films,16
march,16
delhi,16
phase,16
quarantine,16
stay,16
online,16
fancy,16
ordering,16
historicalfiction,16
cover,15
see,15
mumbai,15
around,15
thank,15
corona,15
most,15
watch,15
robertselaine,15
actors,14
telecasted,14
vijay,14
off,14
way,14
restaurants,14
him,14
allow,14
different,14
two,14
which,14
china,14
available,14
tamil,14
themselves,14
look,13
migrantworkers,13
took,13
decision,13
run,13
package,13
stayhomestaysafe,13
find,13
another,13
thanks,13
tilaiyancks,13
exactly,13
failed,13
mess,13
show,13
keeping,13
spread,13
great,13
rmcoffice,13
running,13
mspmoviemaniac,13
telecast,13
family,12
many,12
monday,12
must,12
reports,12
labourers,12
inside,12
starting,12
man,12
restart,12
call,12
why,12
connected,12
brit,12
want,12
each,12
delivery,12
businesses,12
said,12
world,12
business,12
cases,11
times,11
country,11
govt,11
amazing,11
workers,11
three,11
tough,11
closing,11
institutions,11
imageoftheday,11
eucommission,11
presented,11
tourism,11
city,11
pic,11
interview,11
tv,11
post,11
hope,11
noir,11
checkin,11
dailycheckin,11
britnoirfilms,11
tanyalouisewall,11
bradwall,11
staystrong,11
introducing,11
free,11
jamesmjharrison,11
women,11
kpeastsubndiv,11
says,11
content,11
million,11
further,11
check,11
house,11
human,10
system,10
emergency,10
walk,10
good,10
enough,10
shaziaattamarri,10
sindhgovt,10
wise,10
educational,10
finall,10
defis_eu,10
respecting,10
heartbreaking,10
year,10
share,10
birthday,10
things,10
even,10
series,10
enjoy,10
gettingthroughcovid,10
bbc,10
lowcarbgp,10
proof,10
clarion,10
tax,10
junk,10
really,10
actor,10
throwback,10
own,10
staff,10
seen,10
short,10
bradwallactor,10
created,10
mental,10
prince,10
kaybees,10
zandazakuza,10
zolazeelovin,10
thabiso_lavish,10
favourite,10
think,10
win,10
competition,9
migrants,9
full,9
lock,9
end,9
frronconi,9
deep,9
illegal,9
received,9
doing,9
once,9
physical,9
ever,9
cook,9
team,9
tuesday,9
slt_worcs,9
travel,9
children,9
getting,9
fatemperor,9
simple,9
delhitimestweet,9
shaheer_s,9
posted,9
mahabharat,9
cleverly,9
fresh,9
announced,9
fightagainstcorona,9
proud,9
taking,9
important,9
perfect,9
copies,8
kidnap,8
leher,8
unemployment,8
public,8
lockdowns,8
special,8
citizens,8
shops,8
again,8
incidents,8
rights,8
lmkmoviemaniac,8
having,8
jenninemorgan,8
lordbrexit,8
friends,8
maharashtra,8
