,text,external_id,error,classifications,error_detail
0,ur in her dms am playing the questions game with her in google hangout we are not the same ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.657}]",
1, helpafellowdev the turnout of this hangout is getting big reubenkihiu googleafrica google,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.879}]",
2,received new lip stain put it on lives up to the hype and has indeed stained my lips beautiful red only proble ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.908}]",
3, artgerm another sketch during google hangout with friends while doing my social distancing maishiranui kof ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.868}]",
4, katmasterson check out my teacher message on google hangout and class dojo promoting me to model live fundations lesson  ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.852}]",
5, sarajenthomas mrshoopdiddy cerirhys wgmin_education it is called zoom microsoft teams or google hangout all ava ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.772}]",
6,check out my teacher message on google hangout and class dojo promoting me to model live fundations lesson ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.834}]",
7, impact all meetings are now online if you like to host webinar google hangout zoom etc impact would love to plug in and ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.76}]",
8, carleybeale today google hangout visits included sensory scavenger hunt and speed race scavenger hunt said goodbye to some am ,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.556}]",
9, artgerm another sketch during google hangout with friends while doing my social distancing maishiranui kof ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.868}]",
10,bank holiday monday with bek next week we re joined by pauldeeprose of the career gym paul will be discussing al ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.726}]",
11, karenboyarchuk had google hangout with student forgot how much my teaching changes with student facial expressions and tone of ,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.627}]",
12,all meetings are now online if you like to host webinar google hangout zoom etc impact would love to plu ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.951}]",
13, bubleteah ayu kita video call pake google hangout,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.679}]",
14, rachelmentiply sorry was on mute zoom skype google hangout facetime we ve all heard it when using it for work or socialisi ,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.793}]",
15, eze_cg kaytiki it looks like google hangout is what we now know as google meet see what found when search to ,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.533}]",
16, mrsarnoldsideas just finished my first google hangout meets by class warms my heart to see all those smiling faces and hear how they ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.965}]",
17, sorry was on mute zoom skype google hangout facetime we ve all heard it when using it for work or socia ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.762}]",
18, angelsofmrr keep telling every keanu messaging me that keanu doesn have social media they change the subject ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.75}]",
19, googleindia google please add mute button to meet hangout call ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.49}]",
20, heathcastor themegaloo like two zooms and maybe an elevated facetime maybe just running google hangout,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.724}]",
21, thinking of doing consecutive live streams this weekend with people just coming on google hangout ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.891}]",
22, justomotayo kaytiki google hangout has been around though ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.476}]",
23, humancoders screen share via google hangout tout simplement ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.907}]",
24, tcc_grouchy so just had my annual performance review done over google hangout by person who had to have someone else set up the ,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.452}]",
25, karenboyarchuk had google hangout with student forgot how much my teaching changes with student facial expressions and tone of ,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.627}]",
26,absolutely weeping to florence and the machine after sat in google hangout alone for minutes ,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.717}]",
27, recommend microsoft not couple microsoft and teams do you want to be one more google hangout meet ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.831}]",
28, spent dollars on korean skin care products so when you see startlingly bad bitch in our next google hangout you re welcome ,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.94}]",
29,please check your emails for the link invitation to the google hangout ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.643}]",
30,hey looking forward to our first date via zoom or google hangout whatever,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.756}]",
31, eli_ray google hangout he sent link because of certain phone settings and my own reticence don know if it was bad link ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.768}]",
32,had google hangout with student forgot how much my teaching changes with student facial expressions and tone ,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.556}]",
33, newfound appreciation for google classroom meets hangout as multiple ways to connect with students however ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.722}]",
34, dmhsps_tdsb don miss it unstoppabletrac will be our guest speaker at our june hilliardpride google ss hangout at am we are ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.68}]",
35,got lit off google hangout hello ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.474}]",
36,omg knew she was psycho when she used google hangout instead of zoom m always right,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.732}]",
37,hannah and lera last google hangout they didn want to hang up seeyounextyear loveyou lastdayofschool ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.754}]",
38, diehardmmapod ufc fight night recap amp hangout is up please share google spotify https co  ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.534}]",
39, mswilliamsflps thank you to everyone who joined our first grade information google hangout tonight we look forward to working with ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.876}]",
40,today google hangout visits included sensory scavenger hunt and speed race scavenger hunt said goodbye to ,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.915}]",
41, insidethetube holy cow that is like complete quarantine date night let get on google hangout and play love co ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.807}]",
42,thank you to everyone who joined our first grade information google hangout tonight we look forward to working wi ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.881}]",
43,loving his outdoor google hangout with his class today sunshine vikingvoyage ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.612}]",
44, artgerm google hangout with friends and sketching while doing my social distancing think will end up with quite stack of sketch ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.724}]",
45,had meet amp greet tonight on google hangout with my department it was nice to meet my professors classes start ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.598}]",
46, angelasterritt is anyone used to not feeling super awkward on zoom google hangout etc by now ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.702}]",
47,if there was hell it would be me trying to end google hangout meeting on repeat ,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.625}]",
48,today my family had google hangout to watch my sister get married in her fianc̩ hospital room miles from ,,FALSE,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.577}]",
49, harrisontrust carmelhealth coachmatheson anytime ll be writing progress reports tomorrow so google hangout ,,FALSE,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.609}]",
50, collalexis had our last google hangout of the year will truly miss my students it not goodbye it a see you later https ,,FALSE,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.531}]",
