,words,value
0,vizmaestro,1
1,rajvivan,1
2,mdivya,1
3,naveenbandla,1
4,kizley,1
5,lokeshgosain,1
6,tableau,1
7,pradeep_zen,1
8,mah_fooj,1
9,recent,1
10,answered,1
11,question,1
12,placement,1
13,believes,1
14,holy,1
15,merge,1
16,communication,1
17,platforms,1
18,led,1
19,eleabio,1
20,chipping,1
21,observation,1
22,understand,1
23,gung,1
24,ho,1
25,easier,1
26,googlehangout,1
27,matthaig,1
28,digital,1
29,fatigue,1
30,become,1
31,earned,1
32,itself,1
33,pandemic,1
34,visual,1
35,movement,1
36,inviting,1
37,letstalkrumbler,1
38,sana,1
39,settings,1
40,yung,1
41,btsxsfba,1
42,greetings,1
43,btsxsantaclara,1
44,attendees,1
45,seat,1
46,tour,1
47,directory,1
48,locate,1
49,seatmate,1
50,concert,1
51,bud,1
52,iyrkrao,1
53,valuable,1
54,introduce,1
55,guidance,1
56,diversified,1
57,sm,1
58,recordings,1
59,lag,1
60,fuck,1
61,girlfriend,1
62,block,1
63,lmao,1
64,exactly,1
65,mistyyy_,1
66,laughed,1
67,grown,1
68,high,1
69,levels,1
70,ya,1
71,outlawqueenbey,1
72,aussirc,1
73,winds,1
74,bfcsd,1
75,generosity,1
76,kindness,1
77,attitude,1
78,relies,1
79,alternative,1
80,situations,1
81,erikjclarke,1
82,something,1
83,brain,1
84,usually,1
85,transfer,1
86,images,1
87,computer,1
88,pasting,1
89,productive,1
90,least,1
91,wwcodeatx,1
92,reactjs,1
93,meetup,1
94,asian,1
95,americans,1
96,jump,1
97,engagement,1
98,weekly,1
99,plans,1
100,commo,1
101,eleven,1
102,sister,1
103,logged,1
104,onto,1
105,snooped,1
106,emails,1
107,turn,1
108,notmikejoyce,1
109,irish,1
110,exited,1
111,paragraph,1
112,girl,1
113,newprincipals,1
114,principalsctr,1
115,thatmancanteach,1
116,creating,1
117,implementing,1
118,processes,1
119,departments,1
120,msgarciasecond,1
121,hugethanks,1
122,everyones,1
123,sorry,1
124,temporary,1
125,solution,1
126,non,1
127,webcam,1
128,version,1
129,eat,1
130,gourmet,1
131,ofc,1
132,johnny_joey,1
